year,make,model,forward_collision_warning,adaptive_cruise_control,lane_departure_warning,lane_keeping_assist,blind_spot_monitor,rear_cross_traffic_alert,backup_camera,adaptive_headlights,antilock_braking_system,automatic_emergency_braking,automatic_parallel_parking,backup_warning,bicycle_detection,brake_assist,curve_speed_warning,drowsiness_alert,electronic_stability_control,high_speed_alert,hill_descent_assist,hill_start_assist,left_turn_crash_avoidance,pedestrian_detection,push_button_start,sideview_camera,temperature_warning,tire_pressure_monitoring_system,traction_control,obstacle_detection
2016,Chevrolet,Express,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Express,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Impala,Option,Option,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Impala,Option,Option,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Impala,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Chevrolet,Impala,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Malibu,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Malibu,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Malibu,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Malibu Limited,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Silverado 1500,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Silverado 1500,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Silverado 1500,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Silverado 2500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Silverado 2500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Silverado 2500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Silverado 3500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Silverado 3500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Sonic,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Sonic,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Sonic,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Spark,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Spark,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Spark,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,SS,Standard,Unknown / Not Available,Standard,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,SS,Standard,Unknown / Not Available,Standard,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Suburban,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Suburban,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Suburban,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Tahoe,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Tahoe,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Tahoe,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Traverse,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Traverse,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Traverse,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Trax,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Trax,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Trax,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Volt,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Volt,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Volt,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chrysler,200,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chrysler,200,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Chrysler,300,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chrysler,300,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chrysler,300,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Chrysler,Pacifica,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chrysler,Pacifica,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chrysler,Town & Country,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chrysler,Town & Country,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Dodge,Challenger,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Dodge,Challenger,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Dodge,Challenger,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Dodge,Charger,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Dodge,Charger,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Dodge,Charger,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Dodge,Dart,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Dodge,Dart,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2016,Dodge,Durango,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Dodge,Durango,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Dodge,Durango,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Dodge,Grand Caravan,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Dodge,Grand Caravan,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Dodge,Grand Caravan,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Dodge,Journey,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Dodge,Journey,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Dodge,Journey,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Dodge,SRT Viper,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Dodge,SRT Viper,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Fiat,500,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Fiat,500,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Fiat,124 Spider,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Fiat,124 Spider,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Fiat,124 Spider,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Fiat,500e,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Fiat,500e,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Fiat,500L,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Fiat,500L,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Fiat,500L,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Fiat,500x,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Fiat,500x,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Fiat,500x,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,C-MAX,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Ford,C-MAX,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,C-MAX,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Ford,EcoSport,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Edge,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Edge,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Edge,Option,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Ford,Edge,Standard,Standard,Standard,Standard,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Escape,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Escape,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Escape,Option,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Expedition,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Expedition,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Expedition,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Explorer,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Explorer,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Explorer,Option,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,F-150,Option,Unknown / Not Available,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Ford,F-150,Option,Unknown / Not Available,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Ford,F-150,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,F-250,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Ford,F-250,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Ford,F-250,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Ford,F-250,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,F-350,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Ford,F-350,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Fiesta,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Fiesta,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Fiesta,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Flex,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Flex,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Flex,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Ford,Flex,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Focus,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Focus,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Focus,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Fusion,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Fusion,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Fusion,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Ford,Fusion,Standard,Standard,Standard,Standard,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Mustang,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Mustang,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Mustang,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Ford,Mustang,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Taurus,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Taurus,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Taurus,Option,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,Transit,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Ford,Transit,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Ford,Transit,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Ford,TransitConnect,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Ford,TransitConnect,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Ford,TransitConnect,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Genesis,G80,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Genesis,G80,Standard,Standard,Standard,Standard,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Genesis,G90,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Genesis,G90,Standard,Standard,Standard,Standard,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Acadia,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,GMC,Acadia,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Acadia,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,GMC,Acadia,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Canyon,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,GMC,Canyon,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Canyon,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Savana,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Sierra 1500,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,GMC,Sierra 1500,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Sierra 1500,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Sierra 2500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,GMC,Sierra 2500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Sierra 2500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Sierra 3500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,GMC,Sierra 3500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Sierra 3500HD,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Terrain,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,GMC,Terrain,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Terrain,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,GMC,Terrain,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Yukon,Option,Option,Unknown / Not Available,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Yukon,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,GMC,Yukon XL,Option,Option,Unknown / Not Available,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,GMC,Yukon XL,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Honda,Accord,Option,Option,Option,Option,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Accord,Option,Option,Option,Option,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Accord,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Accord Hybrid,Standard,Standard,Standard,Standard,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Accord Hybrid,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Honda,Civic,Option,Option,Option,Option,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Civic,Option,Option,Option,Option,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Civic,Option,Option,Option,Option,LW*,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Clarity,Standard,Standard,Standard,Standard,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Clarity,Honda,Pilot,Honda,Pilot,LW*,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Honda,CR-V,Option,Option,Option,Option,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Honda,CR-V,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,CR-V,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Honda,CR-Z,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Honda,CR-Z,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Honda,Fit,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Fit,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Fit,Option,Option,Option,Option,LW*,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Honda,HR-V,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
